IOTDB|MASTER
ANT|ANT
ARE|ARE
AUS|AUS
BGD|BGD
BHR|BHR
BHS|BHS
BLZ|BLZ
BOL|BOL
CAN|CAN
CHN|CHN
COK|COK
COM|COM
DJI|DJI
EGY|EGY
ERI|ERI
EUBEL|EU.BEL
EUBGR|EUR.BGR
EUCYP|EUR.CYP
EUDEU|EUR.DEU
EUESP|EUR.ESP
EUFRA|EUR.FRA
EUGBR|EUR.GBR
EUITA|EUR.ITA
EULTU|EUR.LTU
EUMYT|EUR.MYT
EUNLD|EUR.NLD
EUPRT|EUR.PRT
EUREU|EUR.REU
FJI|FJI
FRAT|FRAT
GBR|GBR
GBRT|GBRT
GHA|GHA
GIN|GIN
GUY|GUY
HND|HND
IDN|IDN
IND|IND
IRN|IRN
ISR|ISR
JOR|JOR
JPN|JPN
KEN|KEN
KHM|KHM
KIR|KIR
KNA|KNA
KOR|KOR
KWT|KWT
LBR|LBR
LKA|LKA
MDG|MDG
MDV|MDV
MHL|MHL
MMR|MMR
MOZ|MOZ
MUS|MUS
MYS|MYS
NAM|NAM
NEICE|NEI.LF
NEIDN|NEI.IDN
NEIFR|NEI.LL
NEIPS|NEI.PS
NEISU|NEI.SUN
NOR|NOR
OMN|OMN
PAK|PAK
PAN|PAN
PER|PER
PHL|PHL
PLW|PLW
QAT|QAT
SAU|SAU
SDN|SDN
SEN|SEN
SOM|SOM
SUN|SUN
SYC|SYC
THA|THA
TMP|TLS
TON|TON
TUR|TUR
TUV|TUV
TWN|TWN
TZA|TZA
URY|URY
USA|USA
VCT|VCT
VUT|VUT
YEM|YEM
ZAF|ZAF
