IOTDB|IOTCSTATISTICS|IOTCMASTER
1100030|1100030|9100030
2100040|2100040|A100040
2100060|2100060|A100060
2100080|2100080|A100080
2110040|2110040|A110040
2110060|2110060|A110060
2110080|2110080|A110080
2120040|2120040|A120040
2200040|2200040|A200040
2200060|2200060|A200060
2200080|2200080|A200080
2200100|2200100|A200100
2210020|2210020|A210020
2210040|2210040|A210040
2210060|2210060|A210060
2210080|2210080|A210080
2210100|2210100|A210100
2210120|2210120|A210120
2220020|2220020|A220020
2220040|2220040|A220040
2220060|2220060|A220060
2220080|2220080|A220080
2220100|2220100|A220100
2230020|2230020|A230020
2230040|2230040|A230040
2230060|2230060|A230060
2230080|2230080|A230080
2230100|2230100|A230100
2230120|2230120|A230120
2230140|2230140|A230140
2240020|2240020|A240020
2240040|2240040|A240040
2240140|2240140|A240140
3120060|3120060|7120060
3200050|3200050|NJA_SYC
4220100|4220100|8220100
9000020|IRWESIO|IO_WEST
9000080|IREASIO|IO_EAST
9100020|IRNWEIO|IO_NORTHWEST
9100080|IRNEAIO|IO_NORTHEAST
9200020|IRSWEIO|IO_SOUTHWEST
9200080|IRSEAIO|IO_SOUTHEAST
2240060|2240060|A240060
2240080|2240080|A240080
2240100|2240100|A240100
2240120|2240120|A240120
||
FISHING_GROUND_CODE||
2120060|2120060|A120060
4220040|4220040|8220040
ADDU||
All IO||
ALMAHRA||
ALWUS||
ANDAM||
AWADU||
AWALJ||
AWMAH||
BAA||
BACEH||
BAKHA||
BALI||
BAMUS||
BANDAR||
BASUW||
BATIN||
BBARK||
BLIWA||
BSAHA||
BSHIN||
BSOHA||
DDHAL||
DHKUDA||
DHOFA||
DMIRB||
DSADA||
DSALA||
DSHHA||
DTAQA||
F51|IRWESIO|IO_WEST
F57|IREASIO|IO_EAST
FAADHI||
FELID||
FUVAHM||
GAVILI||
GDHTHI||
HADRAM||
HDHKUL||
HORMOZGAN||
INOCE||
IONE|IRNEAIO|IO_NORTHEAST
IONW|IRNWEIO|IO_NORTHWEST
IOSE|IRSEAIO|IO_SOUTHEAST
IOSW|IRSWEIO|IO_SOUTHWEST
IRN01||
IRN02||
IRN03||
IRN04||
IRN05||
IRN06||
IRN07||
IRN08||
IRN09||
IRN10||
IRN11||
IRN12||
IRN13||
IRN14||
IRN14_OLD||
IRN15||
IRN15_OLD||
IRN16||
IRN16_OLD||
IRN17||
IRN17_OLD||
IRN18||
IRN18_OLD||
IRN181||
IRN19||
IRN19_OLD||
IRN20||
IRN21||
IRN22||
IRN23||
IRN24||
IRN26||
IRN27||
IRN28||
IRN29||
IRN30||
IRNHS||
JASK||
KEDAH||
KMALE||
KOLAHI||
KOLHUM||
LENGEH||
LKAE||
LKANE||
LKAS||
LKASE||
LKASW||
LKAW||
LMAAM||
MALE||
MMADU||
MMUSC||
MMUTR||
MQURA||
MSEEB||
MUBUK||
MUDAB||
MUKHA||
MUSAD||
MUSCA||
NNILAN||
NRALIF||
NTHILA||
OMAN||
PADANG||
PELRATU||
PENANG||
PERAK||
PERLIS||
PRIGI||
QUISHM||
RALIF||
RKAN||
SELANGOR||
SHARQ||
SHAV||
SISTAN||
SJALA||
SMASI||
SMILAD||
SRALIF||
SSUR||
SYCZEE|3200050|NJA_SYC
